Name,Definition,Synonym,Output
Cole-Carpenter syndrome,An osteogenesis imperfecta characterized by craniosynostosis,trisomy 22q11.2,osteogenesis imperfecta
osteogenesis imperfecta type 1,An osteogenesis imperfecta that is characterized by bone fragility and blue sclerae and has_material_basis_in dominantly inherited mutations in the COL1A1 gene on chromosome 17q21.33 or the COL1A2 gene on chromosome 7q21.3.,osteogenesis imperfecta type I,osteogenesis imperfecta
osteogenesis imperfecta with opalescent teeth,An osteogenesis imperfecta found in a single South African family.,osteogenesis imperfecta type I,osteogenesis imperfecta
osteogenesis imperfecta type 8,An osteogenesis imperfecta that has_material_basis_in mutation in the P3H1 gene on chromosome 1p34.2.,osteogenesis imperfecta type VIII,osteogenesis imperfecta
osteogenesis imperfecta type 7,An osteogenesis imperfecta that has_material_basis_in mutation in the CRTAP gene on chromosome 3p22.,osteogenesis imperfecta type VII,osteogenesis imperfecta
osteogenesis imperfecta type 17,An osteogenesis imperfecta that has_material_basis_in mutation in the SPARC gene on chromosome 5q33.,osteogenesis imperfecta type XVII,osteogenesis imperfecta
osteogenesis imperfecta type 3,An osteogenesis imperfecta that is characterized by progressive limb and spinal deformity and normal sclerae and has_material_basis_in mutations in the COL1A1 gene on chromosome 17q21.33 or the COL1A2 gene on chromosome 7q21.3.,progressively deforming osteogenesis imperfecta with normal sclera,osteogenesis imperfecta
osteogenesis imperfecta type 4,An osteogenesis imperfecta that is characterized by bone fragility and normal sclerae and has_material_basis_in dominantly inherited mutations in the COL1A1 gene on chromosome 17q21.33 or the COL1A2 gene on chromosome 7q21.3.,osteogenesis imperfecta with normal sclera,osteogenesis imperfecta
osteogenesis imperfecta type 2,An osteogenesis imperfecta that is characterized by bone fragility and perinatal lethality and has_material_basis_in dominantly inherited mutations in the COL1A1 gene on chromosome 17q21.33 or the COL1A2 gene on chromosome 7q21.3.,Vrolik type of osteogenesis imperfecta,osteogenesis imperfecta
osteogenesis imperfecta type 13,An osteogenesis imperfecta that has_material_basis_in mutation in the BMP1 gene on chromosome 8p21.,osteogenesis imperfecta type XIII,osteogenesis imperfecta
osteogenesis imperfecta type 14,An osteogenesis imperfecta that has_material_basis_in mutation in the TMEM38B gene on chromosome 9q31.,osteogenesis imperfecta type XIV,osteogenesis imperfecta
osteogenesis imperfecta type 5,An osteogenesis imperfecta that has_material_basis_in mutation in the IFITM5 gene on chromosome 11p15.,osteogenesis imperfecta type V,osteogenesis imperfecta
osteogenesis imperfecta type 16,An osteogenesis imperfecta that has_material_basis_in contiguous gene deletion on chromosome 11p11.,osteogenesis imperfecta type XVI,osteogenesis imperfecta
osteogenesis imperfecta type 10,An osteogenesis imperfecta that has_material_basis_in mutation in the SERPINH gene on chromosome 11q13.,osteogenesis imperfecta type X,osteogenesis imperfecta
osteogenesis imperfecta type 15,An osteogenesis imperfecta that has_material_basis_in mutation in the WNT1 gene on chromosome 12q13.,osteogenesis imperfecta type XV,osteogenesis imperfecta
osteogenesis imperfecta type 12,An osteogenesis imperfecta that has_material_basis_in mutation in the SP7 gene on chromosome 12q13.,osteogenesis imperfecta type XII,osteogenesis imperfecta
osteogenesis imperfecta type 9,An osteogenesis imperfecta that has_material_basis_in mutation in the PPIB gene on chromosome 15q22.,osteogenesis imperfecta type IX,osteogenesis imperfecta
osteogenesis imperfecta type 6,An osteogenesis imperfecta that has_material_basis_in mutation in the SERPINF1 gene on chromosome 17p13.3.,osteogenesis imperfecta type VI,osteogenesis imperfecta
osteogenesis imperfecta type 11,An osteogenesis imperfecta that has_material_basis_in mutation in the FKBP10 gene on chromosome 17q21.,osteogenesis imperfecta type XI,osteogenesis imperfecta
